master_relpath	current_relpath	canonical_class	notes
src/gnu/trove/c_ref/q.java	src/gnu/trove/iterator/TCharLongIterator.java	gnu.trove.iterator.TCharLongIterator	class+pkg renamed
src/gnu/trove/c_ref/r.java	src/gnu/trove/iterator/TCharObjectIterator.java	gnu.trove.iterator.TCharObjectIterator	class+pkg renamed
src/gnu/trove/c_ref/s.java	src/gnu/trove/iterator/TCharShortIterator.java	gnu.trove.iterator.TCharShortIterator	class+pkg renamed
src/gnu/trove/c_ref/t.java	src/gnu/trove/iterator/TDoubleByteIterator.java	gnu.trove.iterator.TDoubleByteIterator	class+pkg renamed
src/gnu/trove/c_ref/u.java	src/gnu/trove/iterator/TDoubleCharIterator.java	gnu.trove.iterator.TDoubleCharIterator	class+pkg renamed
src/gnu/trove/c_ref/v.java	src/gnu/trove/iterator/TDoubleDoubleIterator.java	gnu.trove.iterator.TDoubleDoubleIterator	class+pkg renamed
src/gnu/trove/c_ref/w.java	src/gnu/trove/iterator/TDoubleFloatIterator.java	gnu.trove.iterator.TDoubleFloatIterator	class+pkg renamed
src/gnu/trove/c_ref/x.java	src/gnu/trove/iterator/TDoubleIntIterator.java	gnu.trove.iterator.TDoubleIntIterator	class+pkg renamed
src/gnu/trove/c_ref/y.java	src/gnu/trove/iterator/TDoubleIterator.java	gnu.trove.iterator.TDoubleIterator	class+pkg renamed
src/gnu/trove/c_ref/z.java	src/gnu/trove/iterator/TDoubleLongIterator.java	gnu.trove.iterator.TDoubleLongIterator	class+pkg renamed
src/gnu/trove/ca/a.java	src/gnu/trove/iterator/hash/TObjectHashIterator.java	gnu.trove.iterator.hash.TObjectHashIterator	class+pkg renamed
src/gnu/trove/d.java	src/gnu/trove/TFloatCollection.java	gnu.trove.TFloatCollection	class+pkg renamed
src/gnu/trove/da/a.java	src/gnu/trove/list/array/TCharArrayList.java	gnu.trove.list.array.TCharArrayList	class+pkg renamed (was JAR-substituted in prior refresh, undone after remnant-fixer rename pass)
src/gnu/trove/da/b.java	src/gnu/trove/list/array/TCharArrayList$TCharArrayIterator.java	gnu.trove.list.array.TCharArrayList$TCharArrayIterator	class+pkg renamed (was JAR-substituted in prior refresh, undone after remnant-fixer rename pass)
src/gnu/trove/da/c.java	src/gnu/trove/list/array/TIntArrayList.java	gnu.trove.list.array.TIntArrayList	class+pkg renamed (was JAR-substituted in prior refresh, undone after remnant-fixer rename pass)
src/gnu/trove/da/d.java	src/gnu/trove/list/array/TIntArrayList$TIntArrayIterator.java	gnu.trove.list.array.TIntArrayList$TIntArrayIterator	class+pkg renamed (was JAR-substituted in prior refresh, undone after remnant-fixer rename pass)
src/gnu/trove/da/e.java	src/gnu/trove/list/array/TLongArrayList.java	gnu.trove.list.array.TLongArrayList	class+pkg renamed (was JAR-substituted in prior refresh, undone after remnant-fixer rename pass)
src/gnu/trove/da/f.java	src/gnu/trove/list/array/TLongArrayList$TLongArrayIterator.java	gnu.trove.list.array.TLongArrayList$TLongArrayIterator	class+pkg renamed (was JAR-substituted in prior refresh, undone after remnant-fixer rename pass)
src/gnu/trove/e.java	src/gnu/trove/TIntCollection.java	gnu.trove.TIntCollection	class+pkg renamed
